ds,yhat,yhat_lower,yhat_upper,sku,run_id,type
2022-10-21,8.877671660720813,2.9627170903039506,15.433971587626408,Viral Spike,20251207_2248,forecast
2022-10-22,11.281266106777327,5.480826616538113,17.374198768406874,Viral Spike,20251207_2248,forecast
2022-10-23,11.38926483161913,5.406792137869366,17.234084838184145,Viral Spike,20251207_2248,forecast
2022-10-24,8.221483281798134,2.655530392162051,14.788542215988842,Viral Spike,20251207_2248,forecast
2022-10-25,8.230955658651618,2.3643805230197215,14.654749280996102,Viral Spike,20251207_2248,forecast
2022-10-26,8.555344427100737,2.2831259521121026,14.374230883363776,Viral Spike,20251207_2248,forecast
2022-10-27,8.428478444988945,2.4476912012671606,14.30012078395262,Viral Spike,20251207_2248,forecast
2022-10-28,8.355754337449898,1.836583706727878,14.163929720205285,Viral Spike,20251207_2248,forecast
2022-10-29,10.811444802315696,4.507113807215993,17.01885498771053,Viral Spike,20251207_2248,forecast
2022-10-30,10.989557665346705,4.840599135902403,17.269893565934034,Viral Spike,20251207_2248,forecast
2022-10-31,7.902280253372952,1.9561358372332422,14.012199995943043,Viral Spike,20251207_2248,forecast
2022-11-01,8.039785063404286,2.1974719646824905,13.883286067648548,Viral Spike,20251207_2248,forecast
2022-11-02,8.518105451955364,2.5717484553086405,14.572750082557137,Viral Spike,20251207_2248,forecast
2022-11-03,8.56141837724672,2.1071912521420653,14.373146220349293,Viral Spike,20251207_2248,forecast
2022-11-04,8.672448430838415,2.4608790303665264,14.435079925870951,Viral Spike,20251207_2248,forecast
2022-11-05,11.334209727295832,5.34522523161333,17.495009371095964,Viral Spike,20251207_2248,forecast
2022-11-06,11.704116599721527,5.226722857388193,17.39259586951062,Viral Spike,20251207_2248,forecast
2022-11-07,8.781064741965125,2.458236076485664,15.166639080953985,Viral Spike,20251207_2248,forecast
2022-11-08,9.087848955674596,2.8483718391941713,14.805374122772132,Viral Spike,20251207_2248,forecast
2022-11-09,9.715689499636534,3.666796085273744,15.911461525115431,Viral Spike,20251207_2248,forecast
2022-11-10,9.877404836178988,3.742449705449187,15.815743582207787,Viral Spike,20251207_2248,forecast
2022-11-11,10.072919081526774,4.059203018149945,15.886802960134428,Viral Spike,20251207_2248,forecast
2022-11-12,12.795489368543835,6.661843515916482,18.55217587302835,Viral Spike,20251207_2248,forecast
2022-11-13,13.169068417971147,6.962370371779139,19.0472835133008,Viral Spike,20251207_2248,forecast
2022-11-14,10.183969806179082,4.152011854367819,16.287536469191178,Viral Spike,20251207_2248,forecast
2022-11-15,10.401792692575443,4.332403136379138,16.79468621101646,Viral Spike,20251207_2248,forecast
2022-11-16,10.896443355077356,4.8898702038944135,16.993031479881626,Viral Spike,20251207_2248,forecast
